name,length,starring,year,notes,recorded_bought,inserted,updated
"X-Files 2, I Want To Believe",,,2008,,0,5/13/2010 22:30,5/16/2010 19:23
X-Men  I,,,,,0,5/13/2010 22:30,5/16/2010 19:23
XXX,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Yanks,,,,,0,5/13/2010 22:30,5/16/2010 19:23
"yellow rolls royce, the",,,,,0,5/13/2010 22:30,5/16/2010 19:23
"Yes, Georgio",,,,,0,5/13/2010 22:30,1/2/2011 22:12
"Yesterday,Today & Tomorrow",1:27,"Sophia Loren, Marcello Mastriani",1964,Italy,0,5/13/2010 22:30,5/5/2011 23:03
You Can't Tak It With You,2:07,"Jean Andrews, Jimmy Stewart, Lionel Barrymore",1938,,0,5/13/2010 22:30,2/6/2013 22:04
You Don't Know Jack (Kivorkian),,,,,0,5/13/2010 22:30,12/30/2010 17:43
You Don't Mess With the Zohan,,,,,0,5/13/2010 22:30,5/16/2010 19:23
You Only Live Twice,1:57,Connery,1967,7,0,5/13/2010 22:30,1/1/2011 0:45
"you,me and dupree",,,,,0,5/13/2010 22:30,5/16/2010 19:23
Your Past is Showing,,,,,0,5/13/2010 22:30,5/16/2010 19:23
"yours,mine, and ours",,,,,0,5/13/2010 22:30,5/16/2010 19:23
Yule Log & Christmas  Songs,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Yule Log and Xmas Songs,,Fireplace,,Xmas,0,5/13/2010 22:30,12/30/2010 23:04
Zoom,,,,,0,5/13/2010 22:30,5/16/2010 19:23
,,,,,0,5/13/2010 22:30,6/1/2012 10:57
When In Rome,,,,,0,10/28/2010 21:13,10/28/2010 21:13
A Little Sex,,,,,0,10/28/2010 21:35,10/28/2010 21:35
3:10  To Yuma,,V.Heflin,1957,,0,10/28/2010 21:57,12/30/2010 19:29
Last Holiday,,Alec Guiness,1950,,0,10/28/2010 22:00,10/28/2010 22:00
Cynthia,,Elizabeth Taylor,1947,,0,11/29/2010 3:20,1/20/2011 22:41
Back to School,1:30,"Rodney Dangerfield, Keith Gordon",1986,,0,11/29/2010 3:53,5/31/2012 19:37
mighty ducks II,,,,,0,11/29/2010 3:53,11/29/2010 3:53
Mrs. Minever,2:14,"G.Garson, w.pigeon",1942,,0,12/29/2010 2:13,12/29/2010 2:13
"Unsuspected, The",1:43,"C.Raines,",1947,,0,12/29/2010 2:17,12/29/2010 2:17
Exit to Eden,1:53,"R,O'Donnell, R.Dreyfuff",1994,,0,12/30/2010 16:53,1/20/2011 23:45
"World of Henry Orient, The",1:46,P.Sellers,1964,,0,12/30/2010 16:54,1/20/2011 23:46
key largo,1:41,"bogart, bacall",1994,,0,12/30/2010 16:55,12/30/2010 16:56
Code Of Silence,1:41,"Chuck Norris, Henry Silva",1985,,0,12/30/2010 16:56,10/27/2011 20:14
big business,1:37,"midler, tomlin",1988,,0,12/30/2010 16:57,12/30/2010 16:57
Alibi Ike,1:13,joe e. brown,1935,,0,12/30/2010 16:58,12/30/2010 17:03
Shaft,1:40,R.Rountree,1971,,0,12/30/2010 17:11,1/20/2011 23:43
Let the Good Times Roll,,Chuck Berry,1973,Rock,0,12/30/2010 17:14,12/30/2010 17:42
Woman on Top,1:25,P.Cruz,2000,,0,12/30/2010 17:17,12/30/2010 17:18
"Tunnel of Love, The",1:38,D.Day,1958,,0,12/30/2010 17:18,12/30/2010 17:19
"Run Silent, Run Deep",1:33,"C.Gable, B.Lancaster",1958,,0,12/30/2010 17:19,12/30/2010 17:20
Rock Around the Clock,1:17,B.Haley,1956,Rock,0,12/30/2010 17:20,12/31/2010 18:36
Connie & Carla,1:28,N.Vardalos,2004,,0,12/30/2010 17:21,12/30/2010 17:22
After the Thin Man,1:53,"Wm.Powell, M.Loy",1936,Thin Man,0,12/30/2010 17:22,12/31/2010 18:36
International Velvet,2:07,"Tatum O'Neal, Christopher Plummer,",1978,English Coast,0,12/30/2010 17:26,5/31/2012 20:57
Ride 'Em Cowboy,1:26,Abbott & Costello,1942,,0,12/30/2010 17:28,12/30/2010 17:29
"Knute Rockne, All American",1:38,"P.O'Brien, R. Reagan",1940,,0,12/30/2010 17:29,12/30/2010 17:30
Hard-Boiled Mahoney,1:03,,1947,Bowery Boys,0,12/30/2010 17:34,12/30/2010 17:35
Jinx Money,1:08,,1948,Bowery Boys,0,12/30/2010 17:35,12/30/2010 17:36
From Russia With Love,,Connery,1963,7,0,12/30/2010 17:52,1/1/2011 0:45
Bowery Batallion,1:09,,1951,Bowery Boys,0,12/30/2010 18:06,12/30/2010 18:06
Blues Busters,1:07,,1950,Bowery Boys,0,12/30/2010 18:06,12/30/2010 18:07
Hold That Line,1:07,,1952,Bowery Boys,0,12/30/2010 18:07,12/30/2010 18:07
No Holds Barred,,Marjorie Reynolds,1952,Bowery Boys ,0,12/30/2010 18:07,12/30/2010 18:07
Spook Busters,1:08,,1946,Bowery Boys,0,12/30/2010 18:07,12/30/2010 18:08
Tammy and  the Bachelor,1:29,"D. Reynolds, L. Nielson, Brennen, Natwick",1957,,0,12/30/2010 18:29,12/30/2010 18:29
Junior Bonner,1:40,S.McQueen,1972,,0,12/30/2010 18:35,12/30/2010 18:36
"Rock, Rock,Rock !",1:25,"A.Freed, T.Weld",1956,Rock,0,12/30/2010 18:36,12/30/2010 18:37
Dial H For Hitchcock,1:50,,1999,Documentary,0,12/30/2010 18:53,1/20/2011 23:31
Public Enemies,2:20,"J.Depp, C.Bale",2009,,0,12/30/2010 18:54,12/30/2010 18:55
Hoosiers,1:54,"G.Hackman,B.Hershey",1986,,0,12/30/2010 18:55,12/30/2010 18:55
Police Academy 7: Mission to Moscow,1:23,"G.W.Bailey, G.Gaines",1994,VII,0,12/30/2010 18:56,2/17/2011 17:04
Love Crazy,1:40,"Wm.Powell, M.Loy",1941,,0,12/30/2010 18:57,12/30/2010 18:57
Gigli,2:04,"B.Afleck,J.Lopez",2003,,0,12/30/2010 18:57,12/30/2010 18:58
Hail ! Hail ! Rock 'n' Roll,1:55,"Clapton, Springsteen,Berry",1987,Rock,0,12/30/2010 18:58,12/30/2010 18:59
Paulie,1:31,"G.Rowlands,T.Shaloub",1998,,0,12/30/2010 18:59,12/30/2010 19:02
Von Ryan's Express,1:31,"Sinatra,Tr.Howard",1965,,0,12/30/2010 19:02,12/30/2010 19:03
When In Rome,1:31,"J.Duhamel,Kr.Bell",2010,Italy,0,12/30/2010 19:03,12/30/2010 19:03
I Do [ But I Don't ],2:00,"D.Cain, D.Richards",2004,w/comms,0,12/30/2010 19:04,1/1/2011 0:45
John Wooden,1:00,,2010,Documentary,0,12/30/2010 19:05,1/21/2011 0:26
Brothers,1:44,"J.Gyllenhaal,T.McGuire",2009,,0,12/30/2010 19:06,12/30/2010 19:06
Invictus,2:14,"M.Freeman,M.Damon",2009,,0,12/30/2010 19:06,12/30/2010 19:07
Love Happens,1:49,"A.Eckhart,J.Aniston",2009,,0,12/30/2010 19:07,12/30/2010 19:08
Jalopy,1:02,,1953,Bowery Boys,0,12/30/2010 19:08,12/30/2010 19:08
Feudin' Fools,1:03,,1952,Bowery Boys,0,12/30/2010 19:08,12/30/2010 19:09
"Murder, He Says",1:31,"F.McMurray,M.Main",1945,,0,12/30/2010 19:09,12/30/2010 19:10
"Sun Comes Up, The",1:33,L.Nolan ,1949,Lassie,0,12/30/2010 19:17,12/30/2010 19:18
Coast to Coast,1:30,"D.Cannon, R.Blake",1998,,0,12/30/2010 19:19,12/30/2010 19:19
Up In the Air,1:49,"G.Clooney, V.Farmiga",2009,,0,12/30/2010 19:19,12/30/2010 19:20
Assassination,1:28,"C.Bronson, J.Ireland",1998,,0,12/30/2010 19:20,12/30/2010 19:21
Heathers,1:42,"C.Slater,Wy.Ryder",1989,,0,12/30/2010 19:22,12/30/2010 19:23
Transformers 2:Revenge,,"J.Duhamel,S.LeBoeuf",,,0,12/30/2010 19:24,12/30/2010 19:25
Almost An Angel,1:36,"P.Hogan,L.Koslowski",1990,,0,12/30/2010 19:25,12/30/2010 19:25
A Chump At Oxford,1:03,Laurel & Hardy,1940,,0,12/30/2010 19:25,12/30/2010 19:27
Adams Family Values,1:33,"An.Houston,R.Julia",1993,,0,12/30/2010 19:27,12/30/2010 19:27
Wait Until Dark,1:48,"A.Hepburn, R.Crenna",1967,,0,12/30/2010 19:27,12/30/2010 19:28
"Adams Family, The",1:42,"An.Huston,R.Julia",1991,,0,12/30/2010 19:32,12/30/2010 19:33
Without a Trace,2:00,"K.Nelligan,J.Hirsch",1983,,0,12/30/2010 19:33,12/30/2010 19:35
"Murder, She Says",,,,,0,12/30/2010 19:35,12/30/2010 19:35
"Palm Beach Story, The",1:30,"C.Colbert,J.McCrea",1942,,0,12/30/2010 19:36,12/30/2010 19:37
"Rookie, The",2:01,"C.Eastwood, C.Sheen",1990,,0,12/30/2010 19:37,12/30/2010 19:38
Momento,1:56,"G.Pearce,C-A. Moss",2000,,0,12/30/2010 19:39,12/30/2010 19:40
Adoration,1:40,S.Speedman,2008,,0,12/30/2010 19:40,12/30/2010 19:41
Fantastic Mr.Fox,1:28,"G.Clooney,M.Streep",2009,,0,12/30/2010 19:41,12/30/2010 19:42
"Story of Will Rogers, The",1:49,"W.Rogers,Jr.,J.Wyman",1995,,0,12/30/2010 19:42,12/30/2010 19:43
Lost Angel,1:31,Mgt.O'Brien,1943,,0,12/30/2010 19:43,12/30/2010 19:44
"Good Witch's Gift, The",1:30,"C.Bell, Ch.Potter",2010,,0,12/30/2010 19:44,12/30/2010 19:45
Alice In Wonderland,1:49,J.Depp,2010,,0,12/30/2010 19:47,12/30/2010 19:47
"Santa Suit, The",,K.Sorbo,2010,"Xmas, w/coms",0,12/30/2010 19:47,12/30/2010 20:12
A Summer Place,2:10,"Sandra Dee,Richard Egan",1959,"Maine, Carmel",0,12/30/2010 19:48,1/31/2013 19:16
"Prisoner of Zenda, The",1:43,"R.Coleman,D,Fairbanks,Jr.",1937,,0,12/30/2010 19:50,12/30/2010 19:50
Crazy People,1:50,"D.Moore,D.Hannah",1990,,0,12/30/2010 19:51,12/30/2010 19:51
It's Complicated,2:00,"M.Streep,A.Baldwin",2009,,0,12/30/2010 19:51,12/30/2010 19:52
We Were Soldiers,2:17,"M.Gibson,M.Stowe",2002,,0,12/30/2010 19:52,12/30/2010 19:53
"Egg and I, The",1:45,"M.Main, P.Kilbride",1947,Ma & Pa Kettle,0,12/30/2010 19:53,1/2/2011 21:57
Pagan Love Song,1:20,Howard keel,1950,Esthers Williams,0,12/30/2010 19:54,5/5/2011 22:42
"Tuttles of Tahiti, The",1:35,"C.Laughton,J.Hall",1942,,0,12/30/2010 20:00,12/30/2010 20:01
Avatar,2:42,"S.Worthington,Z.Saldana",2009,,0,12/30/2010 20:01,12/30/2010 20:01
Ocean's Eleven,2:07,"Sinatra,D.Martin",1960,,0,12/30/2010 20:06,12/30/2010 20:06
Secret Ceremony,1:49,"E.Taylor,M.Farrow",1968,,0,12/30/2010 20:06,12/30/2010 20:07
Crazy Heart,1:52,"J.Bridges,M.Gyllenhaal",2009,Oscar,0,12/30/2010 20:08,12/30/2010 20:08
Edge of Darkness,1:57,"M.Gibson,",2010,Boston,0,12/30/2010 20:08,12/30/2010 20:09
Unanswered Prayers,1:30,"E.Close,S.Mathis",2010,,0,12/30/2010 20:09,12/30/2010 20:10
Beyond Tomorrow,1:24,C.Aubrey Smith,1940,Xmas,0,12/30/2010 20:10,12/30/2010 20:11
Young Frankenstein,1:45,"G.Wilder,P.Boyle",1974,,0,12/30/2010 20:11,12/30/2010 20:12
Post Grad,1:29,"A.Blidel,R.Santoro",2009,,0,12/30/2010 20:12,12/30/2010 20:12
Doogie Howser Shows,2:00,Neil Patrick Harris,2010,TV,0,12/30/2010 20:12,1/20/2011 23:16
Johnny Mathis,1:30,Documentary,2010,,0,12/30/2010 20:13,12/30/2010 20:14
Play Misty For Me,1:42,"C.Eastwood,J.Walters",1971,,0,12/30/2010 20:14,12/30/2010 20:14
Orange County,1:21,"C.Hanks,J.Black,",2002,,0,12/30/2010 20:14,12/31/2010 18:35
Beverly Hills Cop III,1:45,"E.Murphy,H.Elizondo",1994,,0,12/30/2010 20:15,12/30/2010 20:16
Valentine's Day,2:03,"A.Kutcher,J.Roberts",2010,,0,12/30/2010 20:20,12/30/2010 20:21
"Green Berets, The",2:21,"J.Wayne,D.Janssen",1968,,0,12/30/2010 20:21,12/30/2010 20:22
Night At the Museum 2,1:45,"B.Stiller,R.Wms.",2009,:Smithsonian,0,12/30/2010 20:22,1/20/2011 23:15
CMA's,1:00,"Reba,Brad,Gwyenth",2010,TV Show,0,12/30/2010 20:25,1/1/2011 0:43
Calender Girls,1:48,"H.Mirren,J.Walters",2003,,0,12/30/2010 20:25,12/30/2010 20:26
Local Hero,1:50,"B.Lancaster,P.Riegert",1983,Scotland,0,12/30/2010 20:27,12/30/2010 20:27
Amelia,1:51,"H.Swank,R.Gere",2009,,0,12/30/2010 20:52,12/30/2010 20:53
"Best Man, The",2:00,"T.Diggs,N.Long,",1999,,0,12/30/2010 20:53,12/30/2010 20:54
Cabaret,2:04,"L.Minelli,J.Grey",1972,Oscars,0,12/30/2010 20:55,12/30/2010 20:56
Mr.Belvedere Goes To College,1:22,"C.Webb,S.Temple,A.Young",1949,,0,12/30/2010 20:56,12/30/2010 20:57
Mr.Belvedere Rings The Bell,1:27,"C.Webb,J.Dru,Z.Mostel",1951,,0,12/30/2010 20:57,1/1/2011 0:45
Rio Diablo,1:40,"K.Rogers,T.Tritt",1993,,0,12/30/2010 20:58,12/30/2010 20:59
Superdad,1:35,"K.Russell,B.Crane,B.Rush",1973,,0,12/30/2010 20:59,1/2/2011 22:11
Beverly Hills Cop II,1:43,"E.Murphy,J.Reinhold,J.Prochnow",1987,,0,12/30/2010 20:59,12/30/2010 21:01
Music For Millions,2:00,"Mgt.O'Brien,J.Durante,J.Allyson",1944,,0,12/30/2010 21:01,12/30/2010 21:02
Two Girls and a Sailor,2:04,"V.Johnson,J.Durante,J.Allyson",1944,,0,12/30/2010 21:02,1/2/2011 21:45
"Special Relationship, The",1:32,"Michael Sheen, D.Quaid,",2010,,0,12/30/2010 21:03,12/30/2010 21:04
Chasing Christmas,1:30,Tom Arnold,2005,Xmas,0,12/30/2010 21:04,12/30/2010 21:05
Santa Who?,1:42,"L.Nielson,R.Lively",2000,Xmas,0,12/30/2010 21:05,1/20/2011 22:59
Clipped Wings,1:05,,1953,Bowery Boys,0,12/30/2010 21:45,12/30/2010 21:46
Loose In London,1:02,,1953,Bowery Boys,0,12/30/2010 21:46,12/30/2010 21:46
Jungle Gents,1:04,,1954,Bowery Boys,0,12/30/2010 22:02,12/30/2010 22:03
Bowery To Bagdad,1:04,,1955,Bowery Boys,0,12/30/2010 22:07,1/1/2011 0:41
Paris Playboys,1:03,,1954,Bowery Boys,0,12/30/2010 22:09,12/30/2010 22:09
Private Eyes,1:04,,1953,Bowery Boys,0,12/30/2010 22:10,12/30/2010 22:10
Imaginarium of Dr.Parnassus,2:02,"H.Ledger,J.Depp,J.Law",2009,Last movie,0,12/30/2010 22:11,12/30/2010 22:13
Bat 21,1:45,"G.Hickman,D.Glover,J.Reed",1988,,0,12/30/2010 22:13,1/8/2011 12:14
"Long Goodnight, The",2:01,"G.Davis,Sam L.Jackson,B.Cox",1999,,0,12/30/2010 22:13,12/30/2010 22:14
"Tooth Fairy, The",1:42,"Dwayne Johnson,A.Judd,J.Andrews",2010,,0,12/30/2010 22:15,5/5/2011 20:09
Good Hair,1:35,Chris Rock,2009,Documentary,0,12/30/2010 22:15,1/20/2011 22:56
"Black Stallion, The",1:58,"K.Reno,M.Rooney,T.Garr",1979,Sardinia,0,12/30/2010 22:16,12/30/2010 22:17
Christmas Cupid,1:25,"C.Milan,Chad M.Murray",2010,Xmas,0,12/30/2010 22:17,12/30/2010 22:18
High Society,1:01,Paul Harvey,1955,Bowery Boys,0,12/30/2010 22:18,12/31/2010 18:37
Chicago,1:53,"C.Zeta Jones,R.Zellweger",2002,,0,12/30/2010 22:19,12/30/2010 22:20
Farewell Mr.Kringle,1:30,"Chr.Taylor,Chris Wiehl",2010,Xmas,0,12/30/2010 22:20,12/30/2010 22:22
Call Me Mrs.Mircle,1:25,"D.Roberts,E.Johnson,L.Holly",2010,Xmas,0,12/30/2010 22:22,12/30/2010 22:23
Black Beauty,1:45,"M.Lester,W.Slezek",1971,,0,12/30/2010 22:23,1/20/2011 22:37
Forever Plaid,1:30,Forever Plaid ,2010,Documentary,0,12/30/2010 22:25,1/20/2011 22:34
Stepping Out,1:46,Liza Minelli,,Julie Walters,0,12/30/2010 22:25,1/20/2011 22:33
Murder On a Honeymoon,1:13,Edna Mae Oliver,1935,James Gleason,0,12/30/2010 22:26,1/20/2011 22:38
Moonlight Mile,1:57,"J.Gyllenhaal,D.Hoffman,S,Sarandon",2002,,0,12/30/2010 22:27,12/30/2010 22:31
Annie Hall,1:33,"W.Allen,D.Keaton,C.Kane",1977,Oscar,0,12/30/2010 22:31,12/30/2010 22:32
Leap Year,1:40,"Amy Adams,Matthew Goode",2010,Ireland,0,12/30/2010 22:32,1/1/2011 0:42
Dragonfly,1:45,"K.Costner,S.Thompson,K.Bates",,,0,12/30/2010 22:33,12/30/2010 22:34
Avenging Angel,1:36,"S.Stallone,M.Stowe,An.Quinn",2002,,0,12/30/2010 22:35,12/30/2010 22:35
Molokai: The Story of Father Damien,1:50,"P. O'Toole, K. Kristofferson",1999,,0,1/2/2011 21:57,1/2/2011 21:57
"saint  takes Over, The",,,1940,,0,1/2/2011 22:05,1/2/2011 22:05
"saint's vacation, the",,,1941,,0,1/2/2011 22:06,1/2/2011 22:06
Sister Act 2: Back In the Habit,,Whoopi Goldberg,1993,,0,1/2/2011 22:09,2/17/2011 17:14
"witch mountain, escape from",,,,,0,1/2/2011 22:12,1/2/2011 22:12
"other side of the mountain part 2, the",,,1978,,0,1/2/2011 22:17,1/2/2011 22:18
Ghost Chasers,1:09,,1951,Bowery Boys,0,1/6/2011 23:03,1/6/2011 23:04
Let's go Navy,1:08,Paul Harvey,1951,Bowery Boys,0,1/6/2011 23:04,1/6/2011 23:05
Lucky Losers,1:09,Lyle Talbot,1950,Bowery Boys,0,1/6/2011 23:05,1/6/2011 23:05
Angels in Disguise,1:03,,,Bowery Boys,0,1/6/2011 23:06,1/6/2011 23:06
Blonde Dynamite,1:06,Adele Jergens,1950,Bowery Boys,0,1/6/2011 23:07,1/20/2011 22:21
Smugglers Cove,1:25,,1948,Bowery Boys,0,1/6/2011 23:07,1/6/2011 23:08
A Global Affair,1:24,Yvonne DeCarlo,1964,Bob Hope,0,1/6/2011 23:08,1/6/2011 23:09
I'll Take Sweden,1:36,Tuesday Weld ,1965,Bob Hope,0,1/6/2011 23:09,1/6/2011 23:09
Where There's Life,1:15,Wm.Bendix,1947,Bob Hope,0,1/6/2011 23:09,1/6/2011 23:10
Boy! Did I get the Wrong Number !,1:39,Elke Summer,1966,Bob Hope,0,1/6/2011 23:10,1/6/2011 23:11
Bachelor in Paradise,1:49,Lana Turner,1961,Bob Hope,0,1/6/2011 23:11,1/6/2011 23:12
Falling Up,1:38,Rachel Leigh Cook,2009,,0,1/6/2011 23:20,1/6/2011 23:21
"Last Rebel, The",1:30,Joe Namath,1971,,0,1/6/2011 23:21,1/6/2011 23:22
Edge of Darkness,2:00,Errol Flynn,1943,,0,1/6/2011 23:22,1/6/2011 23:23
It's a Big Country,1:29,Ethel Barrymore,1951,,0,1/6/2011 23:23,1/6/2011 23:24
Cat Ballou,1:36,Lee Marvin,1965,,0,1/6/2011 23:24,1/6/2011 23:24
Lifeguard,1:36,Sam Elliott,1976,,0,1/6/2011 23:26,1/6/2011 23:26
Far And Away,2:20,Tom Cruise,1992,,0,1/6/2011 23:26,1/6/2011 23:27
Fried green Tomatoes,2:15,Jessica Tandy,1991,,0,1/6/2011 23:28,1/6/2011 23:28
"Great Race, the",2:30,Tony Curtis,1965,,0,1/6/2011 23:28,1/6/2011 23:29
Surbarban Comando,1:30,Hulk Hogan,1991,,0,1/6/2011 23:29,1/6/2011 23:30
I Spy,1:30,Owen Wilson,2002,,0,1/6/2011 23:30,1/6/2011 23:30
Beyond the Sea,2:01,Kevin Stacey,2004,Bobby Darin,0,1/6/2011 23:31,1/6/2011 23:31
Love With the Proper Stranger,1:42,Steve McQueen,1963,Natalie Wood,0,1/6/2011 23:31,1/6/2011 23:34
Brainstorm,1:46,Natalie Wood,1983,,0,1/6/2011 23:33,1/6/2011 23:33
Moran of the Lady Letty,1:11,Rudolph Valentino,1922,,0,1/6/2011 23:34,1/6/2011 23:35
A River Runs Thru It,,Brad Pitt,1992,,0,1/6/2011 23:35,1/6/2011 23:36
Jack & Sarah,1:50,Richard E. Grant,1995,Samantha Mathis,0,1/6/2011 23:37,1/6/2011 23:39
Frankie & Johnny,1:58,Al Pacino,1991,M.Pfeiffer,0,1/6/2011 23:39,1/6/2011 23:40
Imagine That,1:47,Eddie Murphy,2009,,0,1/6/2011 23:40,1/6/2011 23:42
Spymate,1:30,"Emma Robts., Chris Potter",2003,,0,1/6/2011 23:42,1/6/2011 23:43
"Good Morning, Viet Nam",2:00,Robin Wms.,1987,,0,1/6/2011 23:43,1/6/2011 23:44
Beverly Hills Chihuahua,1:31,Geo.Lopez,2008,,0,1/6/2011 23:44,1/6/2011 23:45
Defiance,1:42,Jan Michael Vincent,1980,,0,1/6/2011 23:45,1/6/2011 23:46
Mousehunt,1:37,Nathan Lane,1997,,0,1/6/2011 23:46,1/6/2011 23:46
High Crimes,1:55,Ashley Judd,2002,,0,1/6/2011 23:47,1/6/2011 23:47
Sommersby,1:52,Richard Gere,1997,,0,1/6/2011 23:47,1/6/2011 23:48
"Sweetest Thing, The",1:24,Cameron Diaz,2002,,0,1/6/2011 23:48,1/6/2011 23:48
Cool Hand Luke,2:09,Paul Newman,1967,,0,1/6/2011 23:49,1/6/2011 23:49
Designing Women,1:59,Lauren Bacall,1957,,0,1/6/2011 23:49,1/6/2011 23:50
Bachelor Party,1:46,"Tom Hanks, T.Kitaen",1984,,0,1/6/2011 23:50,1/6/2011 23:50
Shadowing the Third Man,1:00,,2004,Documentary,0,1/6/2011 23:51,1/6/2011 23:51
"Wild Hearts Can""t Be Broken",1:28,Gabrielle Anwar,,,0,1/6/2011 23:52,1/6/2011 23:53
Torn Curtain,2:08,Paul Newman,1966,Hitchcock,0,1/6/2011 23:53,1/6/2011 23:54
Those Daring Young Men In Their Jaunty Jalopies,2:05,"Tony Curtis,Terry-Thomas",1969,,0,1/7/2011 0:04,1/7/2011 0:05
Unfaithful,2:04,Richard Gere,2002,,0,1/7/2011 0:05,1/7/2011 0:05
Couples retreat,1:54,Vince Vaughn,2009,Bora Bora,0,1/7/2011 0:05,1/7/2011 0:06
Gypsy Girl,1:42,Haley Mills,1965,,0,1/7/2011 0:06,1/7/2011 0:06
London,1:30,Jessica Biehl,2005,,0,1/7/2011 0:06,1/7/2011 0:07
Before & After,1:48,"Liam Neeson,M.Streep",1996,,0,1/7/2011 0:07,1/7/2011 0:08
Two Sisters From Boston,1:52,June Allyson,1946,,0,1/7/2011 0:08,1/7/2011 0:08
Surrogates,1:27,Bruce Willis,2009,,0,1/7/2011 0:08,1/7/2011 0:09
Tyler Perry's I Can Do Bad All By Myself,1:53,Tyler Perry's,2009,,0,1/7/2011 0:11,5/5/2011 20:00
Just The Way You Are,1:34,Kristy mcNichol,1984,Europe,0,1/7/2011 0:12,1/7/2011 0:12
King Kong,2:14,Jessica Lange,1976,,0,1/7/2011 0:13,1/7/2011 0:13
Broadcast News,2:10,Wm.Hurt,1987,,0,1/7/2011 0:13,1/7/2011 0:13
Big Jake,1:50,John Wayne,1971,Maureen O'Hara,0,1/7/2011 0:14,1/8/2011 12:18
Old Dogs,1:29,Travolta,2009,,0,1/7/2011 0:14,1/7/2011 0:15
"Wendell Baker Story, The",1:39,Luke Wilson,2005,,0,1/7/2011 0:15,1/7/2011 0:16
Bad Company,1:56,"Anthony Hopkins,Chris Rock",2002,,0,1/7/2011 0:16,2/16/2011 22:58
John Denver,1:00,John Denver,2004,PBS Show,0,1/7/2011 0:17,1/7/2011 0:17
Standing Still,1:30,James Van Der Beek,2005,,0,1/7/2011 0:17,1/7/2011 0:18
Get Shorty,1:45,travolta,1995,,0,1/7/2011 0:18,1/7/2011 0:18
"Spiderwick Chronicles, The",1:37,Freddy Hightower,2008,,0,1/7/2011 0:18,1/7/2011 0:19
500 Days of Summer,1:35,Joseph Gordon Levitt,2009,,0,1/7/2011 0:19,7/29/2011 2:56
Law Abiding Citizen,1:49,"Gerard Butler, J. Foxx",2009,,0,1/7/2011 0:20,1/7/2011 0:21
Starsky & Hutch,1:41,Owen Wilson,2004,,0,1/7/2011 0:27,1/7/2011 0:27
2011 Rose Parade,2:00,R.Reagan float,2011,,0,1/7/2011 0:27,1/7/2011 0:29
"Groomsmen, The",1:39,John Cuzak,2010,,0,1/7/2011 0:29,1/7/2011 0:29
Wildcats,1:47,Goldie Hawn,1986,,0,1/7/2011 0:30,1/7/2011 0:30
Larry King Retires,2:00,"Garth, the Judds,J.Mathis",2010,,0,1/7/2011 0:30,1/7/2011 0:32
Poetic Justice,1:50,"Janet Jackson ,Tupac",1993,,0,1/7/2011 0:32,1/7/2011 0:33
Castaway,2:23,Tom Hanks,2000,,0,1/7/2011 0:33,1/7/2011 0:34
Hello Again,1:36,Shelly Long,1987,,0,1/7/2011 0:34,1/7/2011 0:34
Percy Jackson & the Olympians,1:59,Pierce Brosnan,2010,,0,1/7/2011 0:34,1/7/2011 0:35
Once Upon a Crime,1:34,"Belushi, Candy,Young",1991,Monte Carlo,0,1/7/2011 0:35,1/7/2011 0:37
"Pride of the Yankees, The",2:07,gary Cooper,1942,,0,1/7/2011 0:37,1/7/2011 0:37
Charlie's Angel's 2: Full Throttle,1:51,Bernie Mac,2003,,0,1/7/2011 0:38,1/7/2011 0:40
"Rock, The",2:16,"Sean Connery, Nic Cage",1996,,0,1/7/2011 0:40,1/7/2011 0:41
Catch Me If You can,2:20,"T.Hanks, L.DiCapprio",2002,,0,1/7/2011 0:41,1/7/2011 0:43
A Cinderella  Story,1:35,"Chad Michael Murray, H, Duff",2004,,0,1/7/2011 0:44,11/10/2011 15:30
"Count of Monte Cristo, The",1:43,"R.Chamberlain,L.Jourdan",1975,,0,1/7/2011 0:46,1/7/2011 0:47
"Man In the Iron Mask, The",1:43,"R.Chamberlain,L.Jourdan",1977,,0,1/7/2011 0:47,1/7/2011 0:48
Panic Room,1:52,Jodie Foster,2002,,0,1/7/2011 0:48,1/7/2011 0:49
Beyond Forgiveness,1:35,Thomas Ian Griffiths,1994,"Chicago,Poland",0,1/7/2011 0:49,1/7/2011 0:50
"Kenny Rogers:the Gambler,the Adventure Continues",1:40,Bruce Boxleitner,1983,,0,1/7/2011 1:51,1/7/2011 1:53
Wheeler Dealers,1:46,"James Garner, Natalie Wood",1963,,0,1/7/2011 1:53,1/7/2011 1:54
Whip It,1:55,Elen Page,2009,,0,1/7/2011 1:54,1/7/2011 1:54
"Noose Hangs High, The ",1:17,Abbott & Costello,1948,Mike Mazurki,0,1/7/2011 1:54,1/7/2011 1:56
When You Were Born,1:05,Mgt.Lindsay,,,0,1/7/2011 1:56,1/7/2011 1:56
Red-Headed Stranger,1:45,Willie Nelson,1986,,0,1/7/2011 1:57,1/7/2011 1:58
Shallow Hal,1:54,Gwyenth Paltrow,2001,,0,1/7/2011 1:58,1/7/2011 1:58
Istar,1:47,"Dustin, Warren",1987,,0,1/7/2011 1:58,1/7/2011 1:59
Frenzy,1:56,Jon Finch,1972,Hitchcock,0,1/7/2011 1:59,1/7/2011 2:00
