name,length,starring,year,notes,recorded_bought,inserted,updated
Armageddon,,"Bruce Willis, Ben Affleck, Billy Bob Thornton",,,0,5/13/2010 22:30,6/1/2012 11:03
"art of war, the",,,,,0,5/13/2010 22:30,5/16/2010 19:23
Article 99,1:40,"Ray Liotta, K. Sutherland",1992,,0,5/13/2010 22:30,3/27/2013 15:27
Assassins,2:12,"Sylvester Stallone, A.Banderas",1985,,0,5/13/2010 22:30,5/31/2012 19:36
"Associate, The",,,,,0,5/13/2010 22:30,5/16/2010 19:23
"astronaut farmer, the",,,,,0,5/13/2010 22:30,5/16/2010 19:23
au pair,,,,,0,5/13/2010 22:30,5/16/2010 19:23
au Pair II and III,,,,,0,5/13/2010 22:30,5/16/2010 19:23
august rush,,,,,0,5/13/2010 22:30,5/16/2010 19:23
austin powers spy who shagged me,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Australia,,"N.Kidman,H.Jackman",,Australia,0,5/13/2010 22:30,12/30/2010 20:39
"autobiography of miss jane pittman, the",,,,,0,5/13/2010 22:30,5/16/2010 19:23
Autumn in New York,,Richard Gere,,,0,5/13/2010 22:30,1/7/2011 0:53
Avanti !,2:00,"J.Lemonn,J.Mills",1972,Iscia,0,5/13/2010 22:30,5/5/2011 23:06
"Avengers, The",,,,,0,5/13/2010 22:30,5/16/2010 19:23
Away We Go,,,2009,,0,5/13/2010 22:30,5/16/2010 19:23
Baby Boom,,"D.Keaton, Sam Shepard",,Vermont,0,5/13/2010 22:30,1/8/2011 12:13
"Baby-sitters Club, The",,,,,0,5/13/2010 22:30,5/16/2010 19:23
"bachelor, the",,,,,0,5/13/2010 22:30,5/16/2010 19:23
Back to the Future I,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Back to the Future II,,,,,0,5/13/2010 22:30,5/16/2010 19:23
back to the future III,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Backdraft,,"K.Russell,B.Baldwin",,Chicago,0,5/13/2010 22:30,12/30/2010 20:40
Bad Boys,1:58,"Martin Lawrence, Will mith",1995,,0,5/13/2010 22:30,5/31/2012 19:38
bad influence,,,,,0,5/13/2010 22:30,5/16/2010 19:23
bad news bears - houston,,,,Houston,0,5/13/2010 22:30,12/30/2010 20:40
Bad Santa ,,B.Bob Thornton,,Xmas,0,5/13/2010 22:30,1/7/2011 0:54
Bailey's Mistake,,,,,0,5/13/2010 22:30,5/16/2010 19:23
bait shop,,,,,0,5/13/2010 22:30,5/16/2010 19:23
bandolero,,,,,0,5/13/2010 22:30,5/16/2010 19:23
"Barefoot Executive, The",,Kurt Russell,,,0,5/13/2010 22:30,1/7/2011 0:55
barefoot in the park,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Basic Instinct,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Bathing Beauty,1:41,Esther Wms.,1944,,0,5/13/2010 22:30,12/30/2010 18:35
Batman and Robin,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Batman I,,,1966,,0,5/13/2010 22:30,1/31/2013 19:26
Batman Returns,2:06,"Michael Keaton, Michelle Pfieffer",1992,,0,5/13/2010 22:30,1/31/2013 19:38
Batman-The Dark Knight,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Batteries Not Included,1:46,"Hume Cronyn, Jessica Tandy, Dennis Boysikaris",1987,,0,5/13/2010 22:30,1/31/2013 19:29
Battle of Britain,,,,,0,5/13/2010 22:30,5/16/2010 19:23
battleground,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Be Kind Rewind,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Beach Blanket Bingo,1:36,"Frankie Avalon, Buster Keaton",1965,,0,5/13/2010 22:30,5/31/2012 19:39
Beach Party,1:41,"Frankie Avalon, Bob Cummings",1963,,0,5/13/2010 22:30,5/31/2012 19:40
Beach Party- Muscle Beach Party,1:34,"Frankie Avalon, Don Rickles",1964,,0,5/13/2010 22:30,5/31/2012 19:41
Beach Party: Bikini Beach,1:40,"Frankie Avalon, Harvey Lembeck, John Ashley",1964,,0,5/13/2010 22:30,5/31/2012 19:42
